,IDPdv,IDProducto,Valor,Fecha,PreSugerido,Fecha_Mes
389,1596673,122938,24990,2021-10-04,30250,2021-10
390,1596673,123056,8390,2021-10-04,8850,2021-10
391,1596673,122947,18590,2021-10-04,22700,2021-10
392,1596874,123082,12750,2021-10-04,16300,2021-10
393,1596874,122942,11950,2021-10-04,15900,2021-10
394,1596874,122895,4500,2021-10-04,4400,2021-10
395,1596874,122952,6400,2021-10-04,5950,2021-10
396,1596874,123038,12750,2021-10-04,13800,2021-10
397,1596874,122961,5450,2021-10-04,7000,2021-10
398,1596874,123066,2700,2021-10-04,3400,2021-10
399,1596874,122935,2950,2021-10-04,3700,2021-10
400,1596874,123068,2700,2021-10-04,3400,2021-10
401,1596874,122907,5300,2021-10-04,6600,2021-10
402,1596874,123069,2700,2021-10-04,3400,2021-10
403,1596874,123054,5500,2021-10-04,5500,2021-10
404,1596874,122965,8800,2021-10-04,11400,2021-10
405,1596874,123051,3200,2021-10-04,3250,2021-10
406,1596874,123039,12750,2021-10-04,13800,2021-10
407,1596874,123034,8150,2021-10-04,9950,2021-10
408,1596874,123035,8150,2021-10-04,9950,2021-10
409,1596874,122947,17700,2021-10-04,22700,2021-10
410,1596874,123055,5500,2021-10-04,5500,2021-10
411,1596874,122906,4700,2021-10-04,6000,2021-10
412,1596874,122949,12800,2021-10-04,16400,2021-10
413,1596874,122946,17700,2021-10-04,22700,2021-10
414,1596874,122939,11950,2021-10-04,15900,2021-10
415,1596874,123050,3200,2021-10-04,3250,2021-10
416,1596874,123056,8300,2021-10-04,8850,2021-10
417,1596954,122948,12850,2021-10-04,17750,2021-10
418,1596954,122910,7700,2021-10-04,10650,2021-10
419,1596954,122906,4690,2021-10-04,6450,2021-10
420,1596954,122947,17780,2021-10-04,24550,2021-10
421,1596954,123056,8200,2021-10-04,9600,2021-10
422,1596954,122946,17780,2021-10-04,24550,2021-10
423,1596954,122909,7700,2021-10-04,10650,2021-10
424,1596954,123048,12450,2021-10-04,14900,2021-10
425,1596954,122935,2960,2021-10-04,3200,2021-10
426,1596954,122942,12020,2021-10-04,17200,2021-10
427,1596954,122902,8220,2021-10-04,11350,2021-10
428,1596954,122939,12020,2021-10-04,17200,2021-10
429,1596954,122901,7940,2021-10-04,10350,2021-10
430,1597035,123034,8100,2021-10-04,9950,2021-10
431,1597035,122907,5390,2021-10-04,6600,2021-10
432,1597035,123077,5350,2021-10-04,6650,2021-10
433,1597035,122906,4990,2021-10-04,6000,2021-10
434,1597058,122903,14600,2021-10-04,18050,2021-10
435,1597058,122901,11500,2021-10-04,9000,2021-10
436,1597265,122907,5100,2021-10-04,6600,2021-10
437,1597265,122910,6970,2021-10-04,9800,2021-10
438,1597265,122898,8050,2021-10-04,8250,2021-10
439,1597265,122891,8150,2021-10-04,8500,2021-10
440,1597265,122905,6450,2021-10-04,7450,2021-10
441,1597265,122892,12390,2021-10-04,12600,2021-10
442,1597284,123040,10950,2021-10-04,9800,2021-10
443,1597284,123033,15400,2021-10-04,16750,2021-10
444,1597284,123054,6480,2021-10-04,5500,2021-10
445,1597284,122939,12500,2021-10-04,15900,2021-10
446,1597284,122948,13150,2021-10-04,16400,2021-10
447,1597284,122942,12500,2021-10-04,15900,2021-10
448,1597284,123039,15900,2021-10-04,13800,2021-10
449,1597284,123053,25100,2021-10-04,21000,2021-10
450,1597284,122946,20150,2021-10-04,22700,2021-10
451,1597284,123058,11200,2021-10-04,9250,2021-10
452,1597284,122949,13150,2021-10-04,16400,2021-10
453,1597284,122907,6470,2021-10-04,6600,2021-10
454,1597284,122947,20150,2021-10-04,22700,2021-10
455,1597284,123052,25100,2021-10-04,21000,2021-10
456,1597284,123055,6480,2021-10-04,5500,2021-10
457,1597284,123032,15400,2021-10-04,16750,2021-10
458,1597284,123077,5760,2021-10-04,6650,2021-10
459,1597284,123036,18000,2021-10-04,18150,2021-10
460,1597284,123056,9380,2021-10-04,8850,2021-10
461,1597284,123078,5760,2021-10-04,6650,2021-10
462,1597284,122892,12950,2021-10-04,12600,2021-10
463,1597284,123043,10950,2021-10-04,9800,2021-10
464,1597284,123038,15900,2021-10-04,13800,2021-10
465,1597284,122938,25850,2021-10-04,30250,2021-10
466,1597292,122946,19600,2021-10-04,22700,2021-10
467,1597292,123039,12600,2021-10-04,13800,2021-10
468,1597292,123038,12600,2021-10-04,13800,2021-10
469,1597292,122935,3130,2021-10-04,3700,2021-10
470,1597292,123051,3380,2021-10-04,3250,2021-10
471,1597292,123050,3380,2021-10-04,3250,2021-10
472,1597292,123054,6750,2021-10-04,5500,2021-10
473,1597292,123077,5350,2021-10-04,6650,2021-10
474,1597292,123068,3390,2021-10-04,3400,2021-10
475,1597292,123069,3390,2021-10-04,3400,2021-10
476,1597292,123048,12600,2021-10-04,13800,2021-10
477,1597292,123067,3390,2021-10-04,3400,2021-10
478,1597292,122947,18550,2021-10-04,22700,2021-10
479,1597292,122965,9300,2021-10-04,11400,2021-10
480,1597292,122930,6080,2021-10-04,7050,2021-10
481,1597292,122952,7480,2021-10-04,5950,2021-10
482,1597292,123057,11900,2021-10-04,16200,2021-10
483,1597292,122953,6660,2021-10-04,5950,2021-10
484,1597292,123078,5350,2021-10-04,6650,2021-10
485,1597292,123055,6750,2021-10-04,5500,2021-10
486,1597292,123070,3390,2021-10-04,3400,2021-10
487,1597388,122945,29450,2021-10-04,37300,2021-10
488,1597388,123038,12950,2021-10-04,13800,2021-10
489,1597388,122910,8450,2021-10-04,9800,2021-10
490,1597388,122946,18490,2021-10-04,22700,2021-10
491,1597388,123039,12950,2021-10-04,13800,2021-10
492,1597388,123043,10190,2021-10-04,9800,2021-10
493,1597388,122954,7950,2021-10-04,10700,2021-10
494,1597388,122939,12890,2021-10-04,15900,2021-10
495,1597388,123082,12890,2021-10-04,16300,2021-10
496,1597388,122921,14390,2021-10-04,18150,2021-10
497,1597388,123040,10190,2021-10-04,9800,2021-10
498,1597388,122907,5100,2021-10-04,6600,2021-10
499,1597388,122929,5750,2021-10-04,7050,2021-10
500,1597388,122892,11800,2021-10-04,12600,2021-10
501,1597388,123048,12500,2021-10-04,13800,2021-10
502,1597388,123077,5350,2021-10-04,6650,2021-10
503,1597388,122891,8150,2021-10-04,8500,2021-10
504,1597388,122926,20600,2021-10-04,21550,2021-10
505,1597388,122957,18890,2021-10-04,19100,2021-10
506,1597388,122930,5750,2021-10-04,7050,2021-10
507,1597388,123056,8790,2021-10-04,8850,2021-10
508,1597388,122958,34790,2021-10-04,43450,2021-10
509,1597388,122918,9950,2021-10-04,11950,2021-10
510,1596673,122926,25990,2021-10-05,21550,2021-10
511,1596673,123033,12990,2021-10-05,16750,2021-10
512,1596673,122891,9900,2021-10-05,8500,2021-10
